AGS,Ort,2017_AfD_%,2017_CDU_%,2017_LINKE_%,2017_SPD_%,2017_FDP_%,2017_GRÜNE_%,2017_andere_%
14625120,Elsterheide,29.6,30.5,14.4,8.4,10.1,1.8,5.3
14625130,"Elstra, Stadt",38.8,26.3,12.5,7.0,7.2,2.1,6.0
14625140,Frankenthal,32.1,33.5,9.9,9.9,6.3,1.2,6.9
14625150,Göda,34.9,28.4,11.3,8.1,7.6,2.2,7.5
14625160,Großdubrau,42.4,24.1,11.0,6.8,7.0,1.9,6.8
14625170,Großharthau,30.7,27.9,11.5,10.0,9.2,2.8,7.9
14625180,Großnaundorf,37.9,23.7,10.5,8.6,8.9,1.9,8.6
14625190,Großpostwitz/O.L.,33.2,28.2,12.8,8.1,8.5,2.4,6.9
14625220,Haselbachtal,31.6,28.4,12.9,9.9,7.9,3.0,6.3
14625230,Hochkirch,38.7,26.9,9.6,6.2,8.9,2.4,7.3
14625240,"Hoyerswerda, Stadt",27.9,24.4,20.9,12.1,6.6,1.8,6.3
14625250,"Kamenz, Stadt",31.1,24.1,18.2,9.4,8.0,2.6,6.6
14625270,"Königsbrück, Stadt",33.2,28.1,12.2,8.3,9.0,2.4,6.7
14625280,Königswartha,36.7,26.6,12.1,7.9,7.5,2.2,7.0
14625290,Kubschütz,38.2,26.8,11.2,7.0,8.0,2.2,6.6
14625300,Laußnitz,33.9,27.4,10.9,8.2,9.0,2.6,7.9
14625310,"Lauta, Stadt",30.7,25.2,17.4,10.8,6.2,1.8,7.9
14625320,Lichtenberg,34.0,26.9,12.9,8.9,8.1,3.3,5.9
14625330,Lohsa,35.9,27.3,13.6,9.5,6.8,1.4,5.6
14625340,Malschwitz,37.5,28.1,11.7,6.9,6.9,1.9,7.0
14625350,Nebelschütz,23.3,41.9,7.0,6.9,10.7,2.9,7.3
14625360,Neschwitz,41.7,24.4,10.9,8.6,6.9,1.9,5.6
14625370,Neukirch,38.1,23.3,13.1,8.0,5.4,2.6,9.6
14625380,Neukirch/Lausitz,35.1,26.5,12.7,7.9,8.0,2.0,7.7
14625390,Obergurig,37.2,23.3,12.0,8.1,9.5,2.3,7.7
14625410,Ohorn,33.3,26.2,15.6,7.8,8.9,2.1,6.1
14625420,Oßling,41.2,23.3,13.8,9.3,5.2,2.3,5.0
14625440,Panschwitz-Kuckau,18.8,47.4,7.5,7.0,8.6,3.7,7.0
14625450,"Pulsnitz, Stadt",30.9,25.3,13.9,10.2,9.7,2.9,7.1
14625460,Puschwitz,37.2,31.3,10.2,6.1,5.4,2.5,7.3
14625470,Räckelwitz,25.2,43.2,8.4,7.0,5.9,5.0,5.4
14625490,Radibor,36.2,31.4,9.5,6.4,7.6,2.4,6.6
14625500,Ralbitz-Rosenthal,23.2,44.8,7.5,5.8,10.2,2.8,5.8
14625510,Rammenau,33.5,28.8,9.7,8.1,8.7,2.4,8.7
14625525,"Schirgiswalde-Kirschau, Stadt",30.3,34.0,9.8,7.8,8.7,2.4,7.1
14625530,Schmölln-Putzkau,37.7,24.7,14.2,7.4,7.0,2.7,6.4
14625540,Schönteichen,35.0,22.9,15.5,10.1,7.1,3.0,6.2
14625550,Schwepnitz,31.9,27.8,13.5,9.7,7.1,2.5,7.4
14625560,Sohland a. d. Spree,35.6,27.9,10.8,7.6,7.2,2.3,8.6
14625570,Spreetal,34.8,24.9,14.7,10.8,6.6,1.6,6.6
14625580,Steina,31.8,27.5,14.0,9.0,10.0,2.4,5.2
14625590,Steinigtwolmsdorf,36.8,24.6,11.9,8.4,8.7,2.3,7.3
14625610,"Weißenberg, Stadt",36.2,29.9,10.6,5.7,8.8,2.3,6.5
14625630,"Wilthen, Stadt",35.9,27.6,11.9,8.9,6.5,2.4,6.8
14625640,"Wittichenau, Stadt",28.2,41.4,8.6,6.9,7.5,1.8,5.6
14626010,"Bad Muskau, Stadt",31.4,29.4,13.6,11.7,6.5,2.0,5.3
14626020,Beiersdorf,42.6,24.4,10.7,8.2,5.7,2.5,6.0
14626030,"Bernstadt a. d. Eigen, Stadt",32.8,30.7,11.1,8.5,8.0,2.6,6.3
14626050,Bertsdorf-Hörnitz,38.6,26.4,11.8,5.5,4.5,2.9,10.2
14626060,Boxberg/O.L.,31.5,32.2,12.4,8.9,6.3,1.4,7.2
14626070,Dürrhennersdorf,45.1,27.1,8.7,5.1,5.5,2.8,5.7
14626085,"Ebersbach-Neugersdorf, Stadt",33.7,26.1,13.0,8.6,7.2,2.9,8.3
14626100,Gablenz,37.3,23.4,15.7,9.4,7.9,1.8,4.6
14626110,"Görlitz, Stadt",31.5,25.4,14.8,9.9,7.2,3.9,7.3
14626120,Groß Düben,33.7,30.3,13.3,9.0,6.0,1.7,5.9
