Direktbeweber in den Wahlkreisen bei der Wahl zum 7. Sächsischen Landtag am 1. September 2019,,,,
16,7,FDP,Freie Demokratische Partei,"Wohlgemuth, Enrico"
16,8,FREIE WÄHLER,FREIE WÄHLER,"Großmann, Beate"
17,1,CDU,Christlich Demokratische Union Deutschlands,"Markert, Jörg"
17,2,DIE LINKE,DIE LINKE,"Noack, Kathleen"
17,3,SPD,Sozialdemokratische Partei Deutschlands,"Ringeis, Richard"
17,4,AfD,Alternative für Deutschland,"Gahler, Torsten"
17,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Meister, Kay"
17,7,FDP,Freie Demokratische Partei,"Günther, Tino"
17,8,FREIE WÄHLER,FREIE WÄHLER,"Schwan, Marc"
18,1,CDU,Christlich Demokratische Union Deutschlands,"Leithoff, Susan"
18,2,DIE LINKE,DIE LINKE,"Christoph, Toni Dietmar"
18,3,SPD,Sozialdemokratische Partei Deutschlands,"Wyschkon, Sylvio"
18,4,AfD,Alternative für Deutschland,"Penz, Romy"
18,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Walter, Sebastian"
18,7,FDP,Freie Demokratische Partei,"Helfen, Werner"
18,8,FREIE WÄHLER,FREIE WÄHLER,"Büttner, Klaus"
19,1,CDU,Christlich Demokratische Union Deutschlands,"Ittershagen, Steve"
19,2,DIE LINKE,DIE LINKE,"Pinka, Dr. Jana"
19,3,SPD,Sozialdemokratische Partei Deutschlands,"Geißler, Alexander"
19,4,AfD,Alternative für Deutschland,"Weigand, Dr. Rolf"
19,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Scholz, Markus"
19,7,FDP,Freie Demokratische Partei,"Karabinski, Benjamin"
19,8,FREIE WÄHLER,FREIE WÄHLER,"Gustmann, Holger"
20,1,CDU,Christlich Demokratische Union Deutschlands,"Firmenich, Iris"
20,2,DIE LINKE,DIE LINKE,"Fechner, Eyk"
20,3,SPD,Sozialdemokratische Partei Deutschlands,"Mende, Oliver"
20,4,AfD,Alternative für Deutschland,"Zielinski, Holger"
20,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Sauer, Renate"
20,7,FDP,Freie Demokratische Partei,"Hartewig, Philipp"
20,8,FREIE WÄHLER,FREIE WÄHLER,"Walter-Bretschneider, Rico"
21,1,CDU,Christlich Demokratische Union Deutschlands,"Dr. Lehle, Rudolf"
21,2,DIE LINKE,DIE LINKE,"Tändler-Walenta, Marika"
21,3,SPD,Sozialdemokratische Partei Deutschlands,"Homann, Henning"
21,4,AfD,Alternative für Deutschland,"Kuppi, Lars"
21,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Anderfuhren, Maria-Christin"
21,7,FDP,Freie Demokratische Partei,"Cyrnik, Constanze"
21,8,FREIE WÄHLER,FREIE WÄHLER,"Weißflog, Sven"
22,1,CDU,Christlich Demokratische Union Deutschlands,"Schmidt, Thomas"
22,2,DIE LINKE,DIE LINKE,"Sobolewski, Robert"
22,3,SPD,Sozialdemokratische Partei Deutschlands,"Sarfert, Steve"
22,4,AfD,Alternative für Deutschland,"Wesemann, Christian"
22,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Günther, Wolfram"
22,7,FDP,Freie Demokratische Partei,"Becker, Miro"
22,8,FREIE WÄHLER,FREIE WÄHLER,"Stein, Dr. Mario"
,,,Seite 3 von 9,
Direktbeweber in den Wahlkreisen bei der Wahl zum 7. Sächsischen Landtag am 1. September 2019,,,,
Wahl-,,,Wahlvorschlag,
,,,,Name
kreis,Nr.,Kurzbezeichnung,Langbezeichnung,
23,1,CDU,Christlich Demokratische Union Deutschlands,"von Breitenbuch, Georg-Ludwig"
23,2,DIE LINKE,DIE LINKE,"Stange, Enrico"
23,3,SPD,Sozialdemokratische Partei Deutschlands,"Urban, Oliver"
23,4,AfD,Alternative für Deutschland,"May, Frank"
23,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Lippold, Dr. Gerd"
23,7,FDP,Freie Demokratische Partei,"Görnitz, Stefan"
23,8,FREIE WÄHLER,FREIE WÄHLER,"Noack, Falk"
24,1,CDU,Christlich Demokratische Union Deutschlands,"Fritzsche, Oliver"
24,2,DIE LINKE,DIE LINKE,"Jalaß, René"
24,3,SPD,Sozialdemokratische Partei Deutschlands,"Köpping, Petra"
24,4,AfD,Alternative für Deutschland,"Gärtner, Elke"
24,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Penk, Tommy"
24,7,FDP,Freie Demokratische Partei,"Jonas, Anja"
24,8,FREIE WÄHLER,FREIE WÄHLER,"Oehlert, Heike Ellen"
25,1,CDU,Christlich Demokratische Union Deutschlands,"Kirmes, Svend-Gunnar"
25,2,DIE LINKE,DIE LINKE,"Köditz, Kerstin"
25,3,SPD,Sozialdemokratische Partei Deutschlands,"Runge, Ingo"
25,4,AfD,Alternative für Deutschland,"Dornau, Jörg"
25,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Engelhardt, André"
25,7,FDP,Freie Demokratische Partei,"Constantin, Matthias"
25,8,FREIE WÄHLER,FREIE WÄHLER,"Schmiedel, Matthias"
25,14,Blaue #TeamPetry,Die blaue Partei,"von Below, Dorothea Bärbel Ursula"
26,1,CDU,Christlich Demokratische Union Deutschlands,"Ritter, Kay"
26,2,DIE LINKE,DIE LINKE,"Kretzschmar, Jens"
26,3,SPD,Sozialdemokratische Partei Deutschlands,"Kilian, Birgit"
26,4,AfD,Alternative für Deutschland,"Zaunick, Jens"
26,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Schmidt, Annett"
26,7,FDP,Freie Demokratische Partei,"Drews, Sebastian"
26,8,FREIE WÄHLER,FREIE WÄHLER,"Dietze, Dieter Andreas"
27,1,CDU,Christlich Demokratische Union Deutschlands,"Pohle, Ronald"
27,2,DIE LINKE,DIE LINKE,"Fuchs, Angela"
27,3,SPD,Sozialdemokratische Partei Deutschlands,"Arpaci, Arnold"
27,4,AfD,Alternative für Deutschland,"Penndorf, Kerstin"
27,5,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,"Fehse-Klinke, Andre"
27,7,FDP,Freie Demokratische Partei,"Gehrhardt, Michael"
27,8,FREIE WÄHLER,FREIE WÄHLER,"Winkler, Ralf Reinhard"
