Alle Wahllokale mit Wahlgebäuden (Landtagswahl 2019),,,,,,
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Pieschen ,21303,47,8. Grundschule,"01127, Dresden",Konkordienstr. 12,Nicht barrierefrei
Pieschen ,21400,47,Oberschule Dresden Pieschen,"01127, Dresden",Robert‐Matzke‐Str. 14,Nicht barrierefrei
Pieschen ,21500,47,Oberschule Dresden Pieschen,"01127, Dresden",Robert‐Matzke‐Str. 14,Nicht barrierefrei
Pieschen ,22100,47,"Gemeindezentrum ""Goldenes Lamm""","01139, Dresden",Leipziger Str. 220,Barrierefrei
Pieschen ,22200,47,41. Grundschule,"01139, Dresden",Hauptmannstr. 15,Barrierefrei
Pieschen ,22300,47,41. Grundschule,"01139, Dresden",Hauptmannstr. 15,Barrierefrei
Pieschen ,22400,47,9. Oberschule,"01139, Dresden",Lommatzscher Str. 121,Nicht barrierefrei
Pieschen ,22501,47,41. Grundschule,"01139, Dresden",Hauptmannstr. 15,Barrierefrei
Pieschen ,22502,47,41. Grundschule,"01139, Dresden",Hauptmannstr. 15,Barrierefrei
Pieschen ,22600,47,DRK‐Kreisverband Dresden,"01139, Dresden",Klingerstr. 20,Nicht barrierefrei
Pieschen ,22700,47,DRK‐Kreisverband Dresden,"01139, Dresden",Klingerstr. 20,Nicht barrierefrei
Pieschen ,23100,47,9. Oberschule,"01139, Dresden",Lommatzscher Str. 121,Nicht barrierefrei
Pieschen ,23200,47,9. Oberschule,"01139, Dresden",Lommatzscher Str. 121,Nicht barrierefrei
Pieschen ,23300,47,43. Grundschule,"01139, Dresden",Riegelplatz 2,Barrierefrei
Pieschen ,23400,47,43. Grundschule,"01139, Dresden",Riegelplatz 2,Barrierefrei
Pieschen ,24100,47,56. Oberschule,"01129, Dresden",Aachener Str. 10,Barrierefrei
Pieschen ,24200,47,106. Grundschule,"01129, Dresden",Großenhainer Str. 187,Barrierefrei
Pieschen ,24300,47,56. Oberschule,"01129, Dresden",Aachener Str. 10,Barrierefrei
Pieschen ,24400,47,106. Grundschule,"01129, Dresden",Großenhainer Str. 187,Barrierefrei
Pieschen ,24500,47,56. Oberschule,"01129, Dresden",Aachener Str. 10,Barrierefrei
Pieschen ,24700,47,56. Oberschule,"01129, Dresden",Aachener Str. 10,Barrierefrei
Pieschen ,24800,47,56. Oberschule,"01129, Dresden",Aachener Str. 10,Barrierefrei
Pieschen ,25100,47,Pestalozzi‐Gymnasium,"01127, Dresden",Pestalozziplatz 22,Barrierefrei
Pieschen ,25200,47,Pestalozzi‐Gymnasium,"01127, Dresden",Pestalozziplatz 22,Barrierefrei
Gebiet,Wahlbezirk,Wahlkreis,Einrichtung,"PLZ, Ort",Straße,Barrierefreiheit
Pieschen ,25300,47,106. Grundschule,"01129, Dresden",Großenhainer Str. 187,Barrierefrei
Pieschen ,25400,47,BSZ für Gesundheit und Soziales,"01127, Dresden",Maxim‐Gorki‐Str. 39,Barrierefrei
Pieschen ,25500,47,BSZ für Gesundheit und Soziales,"01127, Dresden",Maxim‐Gorki‐Str. 39,Barrierefrei
Pieschen ,25600,47,BSZ für Gesundheit und Soziales,"01127, Dresden",Maxim‐Gorki‐Str. 39,Barrierefrei
Pieschen ,25700,47,BSZ für Gesundheit und Soziales,"01127, Dresden",Maxim‐Gorki‐Str. 39,Barrierefrei
Klotzsche ,31100,41,"Kindertagesstätte ""Koboldland""","01109, Dresden",Klotzscher Hauptstr. 26,Barrierefrei
Klotzsche ,31200,41,"Gymnasium Klotzsche (Containerstandort) 01109, Dresden",,Karl‐Marx‐Str. 29,Barrierefrei
Klotzsche ,31300,41,"Gymnasium Klotzsche (Containerstandort) 01109, Dresden",,Karl‐Marx‐Str. 29,Barrierefrei
Klotzsche ,31400,41,"Gymnasium Klotzsche (Containerstandort) 01109, Dresden",,Karl‐Marx‐Str. 29,Barrierefrei
Klotzsche ,31500,41,82. Grundschule.,"01109, Dresden",Gertrud‐Caspari‐Str. 9,Nicht barrierefrei
Klotzsche ,31601,41,82. Grundschule,"01109, Dresden",Gertrud‐Caspari‐Str. 9,Barrierefrei
Klotzsche ,31602,41,82. Grundschule,"01109, Dresden",Gertrud‐Caspari‐Str. 9,Barrierefrei
Klotzsche ,31701,41,Volkssolidarität e.V. Begegnungsstätte,"01109, Dresden",Putbuser Weg 18,Barrierefrei
Klotzsche ,31702,41,Volkssolidarität e.V. Begegnungsstätte,"01109, Dresden",Putbuser Weg 18,Barrierefrei
