;WK-Nr;WK-Name;AGS;Wahlberechtigte;Wähler;gültige_1;CDU_1;DIE LINKE_1;SPD_1;FDP_1;GRÜNE_1;NPD_1;PIRATEN_1;BüSo_1;DSU_1;AfD_1;FREIE WÄHLER_1;Die PARTEI_1;Freie Bürger Leipzig_1;Konrad Skatula_1;Schaar_1;WAGNER_1;WV MFU_1;gültige_2;CDU_2;DIE LINKE_2;SPD_2;FDP_2;GRÜNE_2;NPD_2;Tierschutzpartei_2;PIRATEN_2;BüSo_2;DSU_2;AfD_2;pro Deutschland_2;FREIE WÄHLER_2;Die PARTEI_2
43;5;Zwickau 1;14524130;7228;3619;3542;1370;498;287;117;157;227;31.0;62.0;;;793.0;;;;;;;3568;1551;584;369;100;121;249;30;24;6;4;290;5;212;23
44;5;Zwickau 1;14524150;2162;1208;1186;492;256;121;42;48;85;13.0;45.0;;;84.0;;;;;;;1194;463;258;100;26;42;83;18;7;15;4;129;0;44;5
45;5;Zwickau 1;14524170;5619;2715;2646;1098;572;368;143;177;123;39.0;20.0;;;106.0;;;;;;;2685;1249;508;310;95;105;107;29;18;7;0;218;2;30;7
46;5;Zwickau 1;14524200;9969;5224;5084;2270;973;630;287;240;281;81.0;30.0;;;292.0;;;;;;;5157;2462;856;552;187;144;224;49;27;5;5;517;3;115;11
47;5;Zwickau 1;14524250;6564;3248;3163;1247;626;437;217;147;183;67.0;31.0;;;208.0;;;;;;;3197;1526;583;320;123;99;147;33;20;7;3;263;2;63;8
48;5;Zwickau 1;14524310;3212;1624;1583;670;261;201;99;87;118;28.0;24.0;;;95.0;;;;;;;1602;730;247;156;69;55;104;18;13;3;0;171;1;30;5
49;5;Zwickau 1;14524320;8894;3765;3662;1449;882;498;180;184;221;42.0;25.0;;;181.0;;;;;;;3705;1612;805;390;119;106;170;40;17;3;2;375;1;50;15
50;6;Zwickau 2;14524030;16521;6978;6839;3097;1427;765;420;261;473;85.0;54.0;;;257.0;;;;;;;6881;3035;1301;776;266;240;408;77;50;20;13;535;24;117;19
51;6;Zwickau 2;14524050;1146;621;606;286;84;64;56;27;46;7.0;1.0;;;35.0;;;;;;;616;324;79;53;23;24;44;1;7;0;1;41;2;15;2
52;6;Zwickau 2;14524060;4490;2233;2193;1084;398;234;90;78;140;43.0;18.0;;;108.0;;;;;;;2202;1054;380;234;59;61;118;32;17;5;3;164;1;67;7
53;6;Zwickau 2;14524140;3046;1597;1574;819;270;140;72;55;97;23.0;3.0;;;95.0;;;;;;;1577;816;234;142;54;59;79;13;13;1;0;111;3;46;6
54;6;Zwickau 2;14524210;3425;1788;1757;1064;276;129;68;47;75;18.0;11.0;;;69.0;;;;;;;1760;852;315;165;54;56;87;17;15;3;2;141;4;41;8
55;6;Zwickau 2;14524300;17934;7458;7319;3149;1722;783;378;279;490;91.0;55.0;;;372.0;;;;;;;7365;3087;1557;843;286;233;410;81;52;15;11;587;14;163;26
56;8;Zwickau 4;14524010;1910;893;877;450;165;88;60;49;38;;;;;27.0;;;;;;;882;435;149;91;52;17;29;7;3;1;0;85;0;10;3
57;8;Zwickau 4;14524080;19703;8514;8414;4033;1954;822;443;407;409;;;;;346.0;;;;;;;8443;3632;1772;1030;339;333;338;85;57;9;9;592;7;193;47
58;8;Zwickau 4;14524160;10297;5050;4954;2034;1125;705;182;298;298;;;;;312.0;;;;;;;4996;2007;981;698;147;162;229;55;32;1;3;452;6;200;23
59;8;Zwickau 4;14524190;13080;5827;5721;1972;1096;608;750;213;500;;;;;582.0;;;;;;;5754;2350;954;679;302;188;428;57;33;4;7;474;6;250;22
60;8;Zwickau 4;14524240;884;430;423;212;78;47;38;9;14;;;;;25.0;;;;;;;423;200;64;44;29;11;14;4;4;0;0;40;0;12;1
61;8;Zwickau 4;14524260;1466;653;640;321;141;63;34;24;35;;;;;22.0;;;;;;;641;293;113;86;20;19;28;4;4;1;0;63;0;8;2
62;8;Zwickau 4;14524270;762;432;427;257;51;29;24;19;28;;;;;19.0;;;;;;;429;248;39;38;22;14;23;5;4;0;0;23;0;13;0
63;8;Zwickau 4;14524280;2802;1260;1234;538;250;116;52;187;63;;;;;28.0;;;;;;;1241;558;218;129;52;54;44;15;5;0;3;149;3;8;3
64;8;Zwickau 4;14524290;3516;1884;1850;856;433;180;75;101;97;;;;;108.0;;;;;;;1866;804;387;188;56;76;71;22;12;2;2;169;3;63;11
65;9;Zwickau 5;14524020;4292;2224;2177;1000;393;217;66;92;97;22.0;;;217.0;73.0;;;;;;;2188;1047;370;200;69;88;95;13;15;2;2;237;7;34;9
66;9;Zwickau 5;14524070;3586;1730;1705;722;373;213;45;66;76;16.0;;;143.0;51.0;;;;;;;1713;751;338;216;52;52;86;29;8;0;0;142;2;32;5
67;9;Zwickau 5;14524120;13008;5438;5350;2161;1321;664;168;236;168;67.0;;;443.0;122.0;;;;;;;5369;2151;1243;665;207;213;180;57;49;3;9;476;9;77;30
68;9;Zwickau 5;14524180;20266;9610;9474;3934;1596;1120;349;453;301;85.0;;;862.0;774.0;;;;;;;9502;4154;1578;1124;362;395;331;107;71;8;5;856;12;473;26
69;9;Zwickau 5;14524220;1907;948;932;309;88;93;58;24;40;8.0;;;78.0;234.0;;;;;;;934;432;113;87;35;22;42;10;10;0;0;84;2;95;2
70;9;Zwickau 5;14524230;5132;2439;2409;1119;497;287;89;96;66;25.0;;;189.0;41.0;;;;;;;2413;1106;462;304;111;98;71;25;14;3;2;180;1;26;10
71;13;Erzgebirge 1;14521010;3174;1794;1748;775;300;222;58;91;50;15.0;;;188.0;49.0;;;;;;;1754;829;264;206;74;67;48;11;14;0;2;200;4;32;3
72;13;Erzgebirge 1;14521040;2250;1187;1171;483;278;103;31;35;62;14.0;;;139.0;26.0;;;;;;;1172;496;238;113;29;23;66;13;13;1;2;164;1;9;4
73;13;Erzgebirge 1;14521120;5227;2793;2745;1234;552;237;79;99;153;32.0;;;302.0;57.0;;;;;;;2748;1275;461;249;82;86;158;39;26;1;2;329;5;29;6
74;13;Erzgebirge 1;14521230;1717;871;858;373;209;82;28;20;45;6.0;;;77.0;18.0;;;;;;;861;372;185;91;27;21;46;10;4;0;1;89;1;10;4
75;13;Erzgebirge 1;14521290;3182;1568;1546;696;363;153;43;57;72;9.0;;;132.0;21.0;;;;;;;1553;707;282;180;62;49;85;15;8;0;4;147;1;8;5
76;13;Erzgebirge 1;14521310;4663;2602;2570;1118;518;191;59;111;238;18.0;;;263.0;54.0;;;;;;;2579;1169;409;242;82;86;235;27;9;4;1;268;5;38;4
77;13;Erzgebirge 1;14521380;7206;3446;3400;1202;1170;237;57;128;178;16.0;;;333.0;79.0;;;;;;;3410;1433;864;330;71;91;209;25;19;2;4;311;2;40;9
78;13;Erzgebirge 1;14521410;5761;3132;3088;1385;593;310;95;154;121;24.0;;;336.0;70.0;;;;;;;3093;1415;510;360;113;124;132;36;23;2;2;337;3;28;8
79;13;Erzgebirge 1;14521420;1026;509;499;238;88;38;11;18;45;3.0;;;46.0;12.0;;;;;;;500;251;68;50;10;13;47;4;1;0;0;52;1;0;3
80;13;Erzgebirge 1;14521430;2305;956;944;354;224;110;21;54;38;3.0;;;118.0;22.0;;;;;;;941;396;192;131;23;25;45;7;6;0;2;104;1;8;1
81;13;Erzgebirge 1;14521450;9762;4433;4352;1755;1141;395;78;184;246;31.0;;;425.0;97.0;;;;;;;4371;1860;905;515;85;116;273;47;26;0;5;451;6;56;26
82;13;Erzgebirge 1;14521590;9723;4589;4511;1779;1129;354;104;206;225;30.0;;;433.0;251.0;;;;;;;4529;2012;940;455;114;117;241;36;31;3;8;454;4;89;25
83;13;Erzgebirge 1;14521620;5636;2737;2696;1137;596;258;56;133;143;19.0;;;266.0;88.0;;;;;;;2697;1178;483;291;75;106;173;15;20;0;8;291;1;39;17
84;14;Erzgebirge 2;14521030;14083;6101;6042;2720;1401;478;116;160;314;34.0;;;550.0;269.0;;;;;;;6046;2343;1524;568;144;140;397;49;38;7;2;651;5;156;22
85;14;Erzgebirge 2;14521050;4133;2024;1987;880;425;155;53;37;132;13.0;;;189.0;103.0;;;;;;;1993;825;425;159;52;37;153;19;8;2;1;219;1;89;3
86;14;Erzgebirge 2;14521080;2022;1311;1294;740;170;116;18;21;78;11.0;;;119.0;21.0;;;;;;;1292;657;189;127;31;24;89;13;6;2;1;139;2;11;1
