;A
166;"24;4;AfD;Alternative;für;Deutschland;Gärtner,;Elke"
167;"24;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Penk,;Tommy"
168;"24;7;FDP;Freie;Demokratische;Partei;Jonas,;Anja"
169;"24;8;FREIE;WÄHLER;FREIE;WÄHLER;Oehlert,;Heike;Ellen"
170;"25;1;CDU;Christlich;Demokratische;Union;Deutschlands;Kirmes,;Svend-Gunnar"
171;"25;2;DIE;LINKE;DIE;LINKE;Köditz,;Kerstin"
172;"25;3;SPD;Sozialdemokratische;Partei;Deutschlands;Runge,;Ingo"
173;"25;4;AfD;Alternative;für;Deutschland;Dornau,;Jörg"
174;"25;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Engelhardt,;André"
175;"25;7;FDP;Freie;Demokratische;Partei;Constantin,;Matthias"
176;"25;8;FREIE;WÄHLER;FREIE;WÄHLER;Schmiedel,;Matthias"
177;"25;14;Blaue;#TeamPetry;Die;blaue;Partei;von;Below,;Dorothea;Bärbel;Ursula"
178;"26;1;CDU;Christlich;Demokratische;Union;Deutschlands;Ritter,;Kay"
179;"26;2;DIE;LINKE;DIE;LINKE;Kretzschmar,;Jens"
180;"26;3;SPD;Sozialdemokratische;Partei;Deutschlands;Kilian,;Birgit"
181;"26;4;AfD;Alternative;für;Deutschland;Zaunick,;Jens"
182;"26;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Schmidt,;Annett"
183;"26;7;FDP;Freie;Demokratische;Partei;Drews,;Sebastian"
184;"26;8;FREIE;WÄHLER;FREIE;WÄHLER;Dietze,;Dieter;Andreas"
185;"27;1;CDU;Christlich;Demokratische;Union;Deutschlands;Pohle,;Ronald"
186;"27;2;DIE;LINKE;DIE;LINKE;Fuchs,;Angela"
187;"27;3;SPD;Sozialdemokratische;Partei;Deutschlands;Arpaci,;Arnold"
188;"27;4;AfD;Alternative;für;Deutschland;Penndorf,;Kerstin"
189;"27;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Fehse-Klinke,;Andre"
190;"27;7;FDP;Freie;Demokratische;Partei;Gehrhardt,;Michael"
191;"27;8;FREIE;WÄHLER;FREIE;WÄHLER;Winkler,;Ralf;Reinhard"
192;"28;1;CDU;Christlich;Demokratische;Union;Deutschlands;Albrecht,;Karsten"
193;"28;2;DIE;LINKE;DIE;LINKE;Nagel,;Juliane"
194;"28;3;SPD;Sozialdemokratische;Partei;Deutschlands;Menzel,;Lars"
195;"28;4;AfD;Alternative;für;Deutschland;Wiesner,;Alexander"
196;"28;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Piechotta,;Dr.;Paula"
197;"28;7;FDP;Freie;Demokratische;Partei;Ascherl,;Rudolf"
198;"28;8;FREIE;WÄHLER;FREIE;WÄHLER;Bohse,;Reinhard"
199;"28;11;Die;PARTEI;Partei;für;Arbeit,;Kumbernuß,;Thomas"
200;"29;1;CDU;Christlich;Demokratische;Union;Deutschlands;Nowak,;Andreas"
201;"29;2;DIE;LINKE;DIE;LINKE;Bednarsky,;Dr.;Adam"
202;"29;3;SPD;Sozialdemokratische;Partei;Deutschlands;Heinke,;Waltra"
203;"29;4;AfD;Alternative;für;Deutschland;Böhme,;Petra"
204;"29;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Cagalj;Sejdi,;Petra"
205;"29;7;FDP;Freie;Demokratische;Partei;Vosberg,;Friedrich"
206;"29;8;FREIE;WÄHLER;FREIE;WÄHLER;Baier,;Monika"
207;"29;12;BüSo;Bürgerrechtsbewegung;Solidarität;Gründler,;Birgitta"
208;"30;1;CDU;Christlich;Demokratische;Union;Deutschlands;Weickert,;Michael"
209;"30;2;DIE;LINKE;DIE;LINKE;Böhme,;Marco"
210;"30;3;SPD;Sozialdemokratische;Partei;Deutschlands;Rudolph-Kokot,;Irena"
211;"30;4;AfD;Alternative;für;Deutschland;Pasemann,;Falk-Gert"
212;"30;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Maicher,;Dr.;Claudia"
213;"30;7;FDP;Freie;Demokratische;Partei;Münch,;Judith"
214;"30;8;FREIE;WÄHLER;FREIE;WÄHLER;Schröder,;Carola"
215;"30;14;Blaue;#TeamPetry;Die;blaue;Partei;Fechner,;Frank"
216;"31;1;CDU;Christlich;Demokratische;Union;Deutschlands;Clemen,;Robert"
217;"31;2;DIE;LINKE;DIE;LINKE;Ehms,;Beate"
218;"31;3;SPD;Sozialdemokratische;Partei;Deutschlands;Panter,;Dirk"
219;"31;4;AfD;Alternative;für;Deutschland;Kühne,;Jörg;Steffen"
220;"31;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Melcher,;Christin"
221;"31;7;FDP;Freie;Demokratische;Partei;Pfüller,;Michael"
222;"31;8;FREIE;WÄHLER;FREIE;WÄHLER;Soudah,;André"
223;"31;11;Die;PARTEI;Partei;für;Arbeit,Nagy,;Michael"
224;"32;1;CDU;Christlich;Demokratische;Union;Deutschlands;Rost,;Wolf-Dietrich"
225;"32;2;DIE;LINKE;DIE;LINKE;Götze,;Marco"
226;"32;3;SPD;Sozialdemokratische;Partei;Deutschlands;Mann,;Holger"
227;"32;4;AfD;Alternative;für;Deutschland;Keller,;Tobias;Martin"
228;"32;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Spenn,;Johannes"
229;"32;7;FDP;Freie;Demokratische;Partei;Franke,;Kristin"
230;"32;8;FREIE;WÄHLER;FREIE;WÄHLER;Weidinger,;Thomas"
231;"32;12;BüSo;Bürgerrechtsbewegung;Solidarität;Fellauer,;Madeleine"
232;"33;1;CDU;Christlich;Demokratische;Union;Deutschlands;Gasse,;Holger"
233;"33;2;DIE;LINKE;DIE;LINKE;Sodann,;Franz"
234;"33;3;SPD;Sozialdemokratische;Partei;Deutschlands;Schmidt,;Michael"
235;"33;4;AfD;Alternative;für;Deutschland;Hentschel,;Holger"
236;"33;5;GRÜNE;BÜNDNIS;90/DIE;GRÜNEN;Gerber,;Dr.;Daniel"
237;"33;7;FDP;Freie;Demokratische;Partei;Kraus,;Christof"
238;"33;8;FREIE;WÄHLER;FREIE;WÄHLER;Baier,;Robert"
239;"33;11;Die;PARTEI;Partei;für;Arbeit,;Gonsior,;Julius"
