;AGS;Wahlberechtigte_EW2019;Wähler_EW2019;gültige_EW2019;CDU_EW2019;DIE LINKE_EW2019;SPD_EW2019;AfD_EW2019;GRÜNE_EW2019;FDP_EW2019;FREIE WÄHLER_EW2019;Wahlberechtigte_BW2017;Wähler_BW2017;gültige_2_BW2017;CDU_2_BW2017;DIE LINKE_2_BW2017;SPD_2_BW2017;AfD_2_BW2017;GRÜNE_2_BW2017;FDP_2_BW2017;FREIE WÄHLER_2_BW2017;WK-Nr_LW2014;WK-Name_LW2014;Wahlberechtigte_LW2014;Wähler_LW2014;gültige_1_LW2014;CDU_1_LW2014;DIE LINKE_1_LW2014;SPD_1_LW2014;FDP_1_LW2014;GRÜNE_1_LW2014;NPD_1_LW2014;PIRATEN_1_LW2014;BüSo_1_LW2014;DSU_1_LW2014;AfD_1_LW2014;FREIE WÄHLER_1_LW2014;Die PARTEI_1_LW2014;Freie Bürger Leipzig_1_LW2014;Konrad Skatula_1_LW2014;Schaar_1_LW2014;WAGNER_1_LW2014;WV MFU_1_LW2014;gültige_2_LW2014;CDU_2_LW2014;DIE LINKE_2_LW2014;SPD_2_LW2014;FDP_2_LW2014;GRÜNE_2_LW2014;NPD_2_LW2014;Tierschutzpartei_2_LW2014;PIRATEN_2_LW2014;BüSo_2_LW2014;DSU_2_LW2014;AfD_2_LW2014;pro Deutschland_2_LW2014;FREIE WÄHLER_2_LW2014;Die PARTEI_2_LW2014
243;14626060;3775;3089;3008;861;339;195;939;100;113;88;3860;3389;3354;1081;417;299;1058;46;212;69;57;Görlitz 1;4046;2448;2414;1191;422;209;57;56;129;22;0;0;238;90;0;0;0;0;0;0;2418;1115;388;231;88;60;145;22;21;6;7;248;2;76;9
244;14626070;815;443;433;98;24;12;195;17;19;11;824;537;528;143;46;27;238;15;29;7;59;Görlitz 3;861;432;418;181;46;18;11;19;12;0;0;0;131;0;0;0;0;0;0;0;420;166;41;20;13;10;12;3;1;0;1;141;4;7;1
245;14626085;10174;5827;5693;1306;532;368;1910;338;240;278;10389;7391;7282;1903;949;628;2456;213;525;160;59;Görlitz 3;10937;5152;5030;1834;857;387;201;703;286;58;0;0;704;0;0;0;0;0;0;0;5063;1980;861;492;225;233;307;43;35;4;14;716;12;120;21
246;14626100;1372;812;782;187;74;47;312;24;41;17;1387;893;877;205;138;82;327;16;69;8;57;Görlitz 1;1436;551;540;230;94;98;13;15;24;4;0;0;47;15;0;0;0;0;0;0;542;221;109;74;22;13;23;8;4;0;0;51;4;13;0
247;14626110;43098;26855;26356;6763;2419;1776;8334;2530;779;326;43393;30179;29768;7570;4399;2952;9374;1154;2141;322;58;Görlitz 2;44262;18253;17883;6508;3573;1459;1061;1466;810;342;0;0;2664;0;0;0;0;0;0;0;17979;6710;3332;2035;704;938;872;258;228;47;21;2461;48;193;132
248;14626120;886;600;579;163;44;39;205;21;34;11;907;661;646;196;86;58;218;11;39;6;57;Görlitz 1;936;486;475;259;59;63;13;12;15;8;0;0;40;6;0;0;0;0;0;0;480;265;64;49;21;10;17;3;2;1;1;41;0;3;3
249;14626140;4593;3100;2997;776;210;252;1019;131;94;80;4698;3566;3521;967;375;298;1264;77;263;69;60;Görlitz 4;4915;2429;2373;1054;315;252;81;88;142;22;0;0;355;64;0;0;0;0;0;0;2386;975;309;275;106;86;149;33;16;1;2;364;4;49;17
250;14626150;1074;517;504;104;50;26;206;14;20;25;1075;619;609;132;70;41;273;6;47;11;59;Görlitz 3;1124;457;452;184;71;27;16;22;20;3;0;0;109;0;0;0;0;0;0;0;451;185;69;24;17;8;27;2;3;1;0;99;0;14;2
251;14626160;998;637;625;147;68;51;201;33;17;18;1024;712;698;191;96;65;243;15;30;10;57;Görlitz 1;1073;537;523;230;106;57;9;14;30;6;0;0;57;14;0;0;0;0;0;0;524;213;107;60;17;13;30;4;7;1;0;57;2;10;3
252;14626170;1255;752;723;188;50;33;257;42;37;25;1261;872;864;243;82;59;325;35;56;16;60;Görlitz 4;1307;540;533;247;72;33;37;28;22;7;0;0;70;17;0;0;0;0;0;0;531;211;75;47;41;33;18;9;1;2;0;79;3;9;3
253;14626180;4726;3121;3054;847;241;177;904;250;104;75;4814;3571;3534;1113;419;324;1054;179;183;60;59;Görlitz 3;4995;2618;2553;1080;411;290;95;207;101;31;0;0;338;0;0;0;0;0;0;0;2573;1103;397;235;118;170;103;30;27;1;8;319;6;48;8
254;14626190;1526;937;922;240;82;56;321;49;31;24;1542;1098;1082;338;131;84;383;28;62;13;57;Görlitz 1;1579;794;773;359;164;41;18;33;54;5;0;0;74;25;0;0;0;0;0;0;783;371;125;53;22;27;59;7;3;0;1;90;3;19;3
255;14626200;1403;833;821;199;104;48;289;44;27;17;1432;930;914;238;127;78;316;23;56;12;57;Görlitz 1;1502;697;686;275;184;41;20;27;33;9;0;0;84;13;0;0;0;0;0;0;688;286;149;61;22;20;44;5;3;0;0;85;3;8;2
256;14626210;1334;788;767;188;73;57;203;49;34;52;1336;868;854;262;108;73;247;28;71;24;60;Görlitz 4;1406;674;662;299;87;55;32;25;31;3;0;0;89;41;0;0;0;0;0;0;661;259;94;66;40;30;35;7;2;1;3;87;3;32;2
257;14626230;1980;1941;1886;559;145;98;650;104;67;42;2013;2183;2161;601;226;153;798;57;178;37;57;Görlitz 1;2072;1347;1319;613;223;116;47;36;67;17;0;0;166;34;0;0;0;0;0;0;1327;639;172;127;45;43;80;12;14;2;3;164;2;22;2
258;14626240;956;619;610;180;41;31;229;36;27;17;965;659;653;180;64;42;265;24;56;6;58;Görlitz 2;996;458;451;197;61;29;24;22;32;7;0;0;79;0;0;0;0;0;0;0;455;202;61;33;17;16;33;3;5;2;1;74;1;7;0
259;14626245;6283;4299;4161;1048;398;248;1401;231;170;139;6404;4945;4868;1324;618;359;1718;144;375;87;59;Görlitz 3;6611;3516;3447;1440;573;293;163;212;172;33;0;0;561;0;0;0;0;0;0;0;3465;1444;543;318;146;117;191;38;26;4;12;525;9;83;9
