field_1;Wahlbezirk;Wahlkreis;Wahlberechtigte;Wähler;gültige_1;CDU_1;DIE LINKE_1;SPD_1;AfD_1;GRÜNE_1;FDP_1;Die PARTEI_1;BüSo_1;gültige_2;CDU_2;DIE LINKE_2;SPD_2;AfD_2;GRÜNE_2;NPD_2;FDP_2;FREIE WÄHLER_2;Tierschutzpartei_2;PIRATEN_2 Deutschland;Die PARTEI_2;BüSo_2;ADPM_2;Blaue #TeamPetry_2;KPD_2;ÖDP_2;Die Humanisten_2;PDV_2;Gesundheitsforschung_2
"77";"22501";"47.0";"1200";"577";"569";"142";"71";"44";"184";"67";"25";"26.0";"10.0";"573";"130";"56";"55";"170";"64";"4";"28";"21";"7";"5";"17";"4";"0";"0";"0";"3";"1";"0";"8"
"78";"22502";"47.0";"1662";"722";"716";"190";"99";"59";"160";"117";"32";"53.0";"6.0";"716";"172";"80";"63";"148";"119";"0";"33";"28";"21";"5";"29";"1";"4";"6";"0";"2";"5";"0";"0"
"79";"22600";"47.0";"1082";"533";"527";"124";"47";"38";"185";"67";"43";"19.0";"4.0";"530";"111";"45";"43";"163";"53";"5";"33";"37";"14";"8";"10";"0";"3";"1";"0";"0";"0";"0";"4"
"80";"22700";"47.0";"1173";"563";"556";"172";"60";"31";"193";"44";"31";"22.0";"3.0";"556";"141";"58";"41";"184";"48";"0";"27";"24";"5";"2";"11";"0";"0";"3";"1";"2";"0";"6";"3"
"81";"23100";"47.0";"1068";"468";"463";"123";"38";"14";"177";"49";"28";"32.0";"2.0";"464";"108";"42";"10";"164";"48";"3";"23";"19";"7";"1";"27";"2";"4";"0";"3";"1";"0";"1";"1"
"82";"23200";"47.0";"1232";"481";"475";"97";"51";"43";"167";"52";"33";"28.0";"4.0";"476";"93";"44";"41";"157";"41";"2";"33";"19";"14";"1";"19";"1";"1";"1";"2";"3";"4";"0";"0"
"83";"23300";"47.0";"1060";"563";"556";"221";"28";"33";"186";"52";"25";"9.0";"2.0";"559";"200";"27";"36";"175";"52";"0";"38";"14";"3";"0";"7";"3";"0";"2";"0";"0";"1";"0";"1"
"84";"23400";"47.0";"1044";"549";"535";"176";"58";"36";"185";"30";"36";"11.0";"3.0";"538";"147";"44";"44";"179";"38";"3";"41";"10";"10";"3";"9";"0";"0";"3";"0";"2";"1";"0";"4"
"85";"24100";"47.0";"918";"448";"443";"127";"57";"40";"102";"71";"26";"16.0";"4.0";"444";"123";"50";"44";"97";"54";"1";"30";"16";"4";"4";"11";"0";"0";"2";"0";"2";"2";"0";"4"
"86";"24200";"47.0";"1131";"619";"617";"182";"86";"56";"109";"131";"35";"16.0";"2.0";"616";"169";"68";"61";"96";"129";"0";"40";"17";"4";"1";"16";"0";"1";"3";"0";"4";"4";"1";"2"
"87";"24300";"47.0";"1028";"547";"542";"156";"67";"54";"106";"98";"31";"27.0";"3.0";"542";"158";"68";"54";"103";"84";"0";"23";"15";"14";"1";"10";"2";"0";"3";"0";"2";"2";"2";"1"
"88";"24400";"47.0";"1328";"653";"648";"206";"78";"49";"134";"106";"41";"31.0";"3.0";"652";"194";"87";"49";"125";"102";"2";"35";"27";"6";"3";"15";"0";"1";"0";"0";"2";"1";"0";"3"
"89";"24500";"47.0";"1500";"702";"687";"212";"81";"66";"202";"70";"32";"18.0";"6.0";"695";"195";"82";"55";"192";"70";"4";"37";"18";"11";"3";"12";"2";"3";"2";"3";"0";"2";"0";"4"
"90";"24700";"47.0";"1079";"477";"469";"137";"70";"25";"138";"57";"27";"10.0";"5.0";"471";"119";"58";"27";"132";"58";"3";"35";"12";"4";"3";"6";"1";"3";"1";"0";"6";"1";"0";"2"
"91";"24800";"47.0";"1009";"461";"459";"165";"44";"30";"126";"56";"26";"10.0";"2.0";"459";"150";"41";"34";"123";"53";"0";"31";"11";"1";"0";"8";"1";"2";"0";"0";"1";"1";"0";"2"
"92";"25100";"47.0";"1450";"607";"598";"121";"117";"29";"140";"116";"26";"39.0";"10.0";"599";"112";"108";"38";"131";"108";"4";"21";"22";"10";"3";"28";"2";"0";"0";"0";"3";"6";"1";"2"
"93";"25200";"47.0";"1237";"522";"514";"114";"96";"33";"93";"104";"30";"37.0";"7.0";"517";"110";"79";"38";"90";"88";"5";"28";"13";"9";"10";"30";"3";"2";"2";"0";"3";"2";"0";"5"
"94";"25300";"47.0";"1392";"614";"607";"181";"58";"54";"188";"53";"49";"21.0";"3.0";"607";"167";"53";"46";"176";"48";"4";"57";"14";"8";"4";"14";"0";"1";"3";"0";"1";"2";"0";"9"
"95";"25400";"47.0";"1762";"689";"684";"154";"111";"37";"155";"131";"34";"56.0";"6.0";"687";"146";"113";"41";"146";"110";"2";"28";"25";"17";"7";"35";"2";"0";"2";"0";"5";"3";"0";"5"
"96";"25500";"47.0";"1683";"633";"624";"163";"89";"48";"132";"118";"32";"40.0";"2.0";"623";"149";"93";"53";"128";"99";"2";"31";"13";"13";"3";"21";"0";"0";"2";"1";"3";"4";"4";"4"
"97";"25600";"47.0";"833";"367";"361";"117";"40";"27";"81";"59";"24";"10.0";"3.0";"363";"100";"34";"35";"80";"54";"2";"24";"9";"6";"2";"7";"2";"1";"0";"0";"3";"0";"1";"3"
"98";"25700";"47.0";"1512";"660";"652";"189";"83";"50";"166";"108";"31";"24.0";"1.0";"656";"165";"69";"56";"163";"101";"1";"51";"13";"7";"5";"13";"1";"0";"4";"0";"5";"0";"0";"2"
"99";"31100";"41.0";"1592";"726";"716";"252";"60";"42";"176";"112";"51";"23.0";;"719";"213";"58";"48";"159";"106";"1";"86";"15";"3";"5";"14";"1";"2";"1";"0";"1";"0";"2";"4"
"100";"31200";"41.0";"1362";"588";"576";"188";"62";"42";"179";"44";"44";"17.0";;"581";"163";"64";"38";"161";"47";"5";"61";"16";"3";"1";"13";"0";"1";"0";"3";"2";"0";"1";"2"
"101";"31300";"41.0";"1018";"515";"501";"161";"69";"29";"155";"24";"48";"15.0";;"507";"133";"61";"30";"152";"23";"2";"66";"9";"5";"1";"13";"0";"3";"2";"2";"3";"1";"0";"1"
"102";"31400";"41.0";"1419";"696";"682";"273";"52";"29";"149";"93";"68";"18.0";;"689";"243";"41";"38";"135";"104";"3";"83";"14";"6";"2";"10";"0";"1";"3";"0";"2";"2";"1";"1"
"103";"31500";"41.0";"1098";"644";"637";"238";"59";"43";"139";"92";"49";"17.0";;"640";"189";"48";"51";"127";"94";"2";"85";"8";"7";"3";"18";"0";"2";"1";"0";"3";"1";"0";"1"
"104";"31601";"41.0";"1171";"592";"580";"213";"49";"44";"122";"89";"51";"12.0";;"583";"166";"41";"49";"107";"92";"3";"85";"12";"6";"2";"6";"0";"0";"3";"0";"4";"1";"2";"4"
"105";"31602";"41.0";"1048";"558";"550";"218";"52";"33";"118";"81";"36";"12.0";;"554";"185";"42";"33";"115";"82";"0";"62";"16";"6";"1";"7";"0";"0";"1";"0";"3";"0";"1";"0"
"106";"31701";"41.0";"934";"432";"423";"135";"63";"26";"110";"40";"41";"8.0";;"426";"116";"52";"28";"102";"35";"1";"65";"9";"2";"4";"7";"0";"0";"0";"2";"1";"0";"1";"1"
"107";"31702";"41.0";"1079";"492";"484";"157";"64";"34";"135";"38";"36";"20.0";;"486";"132";"60";"36";"123";"35";"2";"61";"6";"5";"3";"12";"0";"1";"2";"0";"0";"4";"0";"4"
"108";"31800";"41.0";"870";"406";"394";"99";"49";"29";"124";"48";"28";"17.0";;"397";"69";"57";"36";"116";"39";"9";"36";"9";"4";"3";"11";"0";"1";"0";"1";"1";"2";"0";"3"
"109";"32100";"41.0";"1369";"730";"722";"241";"52";"33";"263";"54";"65";"14.0";;"724";"209";"49";"34";"261";"43";"3";"92";"17";"6";"2";"2";"0";"2";"3";"0";"0";"0";"0";"1"
"110";"32201";"41.0";"866";"457";"450";"143";"29";"30";"159";"29";"51";"9.0";;"454";"134";"28";"24";"142";"25";"2";"61";"17";"8";"1";"7";"0";"1";"1";"0";"0";"0";"0";"3"
"111";"32202";"41.0";"789";"372";"369";"130";"33";"26";"107";"26";"37";"10.0";;"371";"113";"26";"19";"105";"35";"0";"38";"17";"3";"4";"3";"2";"0";"1";"0";"1";"0";"1";"3"
"112";"32300";"41.0";"928";"527";"521";"159";"47";"34";"150";"84";"38";"9.0";;"525";"149";"40";"34";"132";"79";"2";"53";"17";"3";"0";"7";"1";"4";"2";"0";"1";"1";"0";"0"
"113";"32400";"41.0";"1106";"578";"576";"171";"53";"53";"119";"128";"44";"8.0";;"576";"149";"46";"53";"114";"112";"1";"64";"11";"6";"3";"7";"0";"2";"0";"1";"4";"2";"0";"1"
"114";"35110";"41.0";"1270";"673";"668";"246";"47";"35";"170";"80";"73";"17.0";;"668";"205";"34";"39";"168";"69";"1";"112";"17";"5";"1";"10";"0";"2";"3";"0";"1";"0";"0";"1"
"115";"35310";"41.0";"1100";"669";"668";"242";"50";"36";"204";"72";"55";"9.0";;"668";"201";"40";"45";"193";"59";"4";"80";"22";"8";"5";"7";"0";"0";"1";"0";"1";"1";"0";"1"
"116";"35410";"41.0";"1202";"687";"681";"203";"61";"46";"206";"80";"73";"12.0";;"680";"160";"40";"44";"196";"66";"1";"121";"24";"5";"5";"10";"1";"1";"2";"1";"0";"1";"0";"2"
"117";"35510";"41.0";"984";"552";"547";"207";"38";"32";"178";"33";"46";"13.0";;"545";"157";"31";"28";"166";"31";"0";"90";"12";"12";"1";"4";"0";"0";"7";"0";"0";"0";"1";"5"
"118";"35610";"41.0";"203";"116";"114";"41";"10";"11";"35";"2";"14";"1.0";;"115";"39";"7";"10";"34";"5";"0";"15";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1"
"119";"36110";"41.0";"955";"553";"550";"265";"23";"18";"138";"55";"38";"13.0";;"550";"150";"26";"19";"138";"55";"1";"129";"9";"10";"2";"9";"1";"0";"0";"0";"0";"0";"0";"1"
"120";"36210";"41.0";"1277";"695";"691";"304";"29";"50";"127";"115";"51";"15.0";;"691";"160";"32";"54";"121";"118";"3";"168";"8";"6";"3";"10";"0";"0";"0";"0";"5";"1";"1";"1"
"121";"36310";"41.0";"772";"411";"399";"156";"35";"24";"97";"44";"33";"10.0";;"403";"88";"32";"32";"96";"41";"0";"94";"10";"2";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0"
"122";"36410";"41.0";"380";"286";"282";"101";"7";"18";"91";"29";"31";"5.0";;"284";"65";"9";"12";"89";"28";"2";"64";"8";"3";"1";"3";"0";"0";"0";"0";"0";"0";"0";"0"
"123";"41100";"42.0";"1320";"676";"667";"240";"58";"49";"120";"154";"46";;;"672";"232";"44";"59";"119";"138";"1";"45";"13";"2";"2";"9";"0";"0";"0";"2";"1";"1";"2";"2"
"124";"41200";"42.0";"1200";"654";"640";"235";"38";"47";"132";"142";"46";;;"645";"223";"32";"65";"124";"123";"0";"46";"7";"8";"4";"4";"1";"2";"1";"0";"3";"0";"1";"1"
"125";"41300";"42.0";"848";"409";"406";"164";"14";"32";"76";"71";"49";;;"406";"141";"13";"47";"65";"65";"1";"50";"14";"0";"2";"3";"0";"1";"2";"0";"1";"0";"0";"1"
"126";"41400";"42.0";"1068";"444";"440";"149";"30";"28";"110";"100";"23";;;"443";"142";"23";"26";"104";"88";"1";"34";"9";"4";"2";"2";"0";"0";"0";"0";"4";"3";"0";"1"
"127";"42100";"42.0";"1465";"749";"741";"292";"54";"61";"98";"182";"54";;;"742";"258";"49";"63";"89";"173";"1";"59";"19";"3";"4";"12";"1";"0";"1";"1";"3";"3";"0";"3"
"128";"42200";"42.0";"1459";"748";"738";"280";"44";"46";"138";"176";"54";;;"743";"244";"46";"50";"130";"159";"0";"59";"21";"13";"0";"11";"0";"2";"1";"1";"2";"1";"1";"2"
"129";"42400";"42.0";"1229";"602";"592";"219";"73";"45";"97";"121";"37";;;"598";"214";"63";"44";"81";"108";"1";"44";"18";"5";"3";"8";"0";"1";"1";"0";"2";"3";"0";"2"
"130";"42500";"42.0";"1145";"623";"619";"219";"74";"54";"131";"104";"37";;;"621";"180";"58";"54";"130";"99";"1";"43";"26";"9";"0";"11";"1";"0";"1";"0";"4";"2";"0";"2"
"131";"42600";"42.0";"977";"504";"501";"180";"42";"35";"111";"90";"43";;;"500";"167";"32";"44";"109";"84";"0";"43";"8";"3";"3";"2";"0";"0";"0";"0";"2";"0";"2";"1"
"132";"42700";"42.0";"1138";"590";"580";"199";"51";"50";"138";"71";"71";;;"582";"182";"47";"48";"139";"66";"0";"66";"18";"2";"2";"4";"0";"1";"1";"0";"0";"2";"1";"3"
"133";"42800";"42.0";"739";"453";"447";"187";"25";"31";"95";"79";"30";;;"452";"160";"29";"36";"88";"68";"0";"40";"9";"7";"1";"4";"0";"2";"2";"3";"3";"0";"0";"0"
"134";"42900";"42.0";"679";"376";"371";"133";"40";"30";"76";"65";"27";;;"375";"138";"36";"29";"68";"56";"0";"21";"13";"5";"0";"2";"0";"3";"0";"0";"3";"0";"0";"1"
"135";"43100";"42.0";"506";"232";"231";"68";"22";"20";"54";"49";"18";;;"231";"61";"19";"25";"53";"38";"0";"21";"3";"1";"1";"4";"0";"0";"1";"0";"3";"0";"0";"1"
"136";"43200";"42.0";"1496";"750";"738";"218";"81";"61";"197";"136";"45";;;"746";"197";"64";"73";"190";"123";"4";"37";"30";"5";"1";"7";"0";"1";"3";"0";"3";"3";"1";"4"
"137";"43400";"42.0";"736";"376";"368";"108";"45";"21";"115";"56";"23";;;"371";"104";"39";"29";"101";"42";"3";"22";"13";"3";"1";"6";"0";"0";"1";"0";"4";"2";"0";"1"
"138";"45110";"41.0";"1001";"648";"641";"253";"49";"41";"164";"68";"53";"13.0";;"643";"219";"48";"49";"160";"59";"1";"81";"13";"5";"1";"4";"0";"1";"1";"0";"0";"1";"0";"0"
"139";"45210";"41.0";"1038";"493";"480";"188";"39";"27";"152";"34";"35";"5.0";;"484";"177";"29";"28";"155";"29";"1";"31";"12";"9";"2";"3";"0";"1";"0";"1";"0";"2";"1";"3"
"140";"45310";"41.0";"1100";"438";"433";"146";"48";"24";"128";"42";"31";"14.0";;"436";"138";"37";"23";"122";"35";"4";"38";"13";"6";"2";"6";"0";"0";"1";"0";"3";"3";"2";"3"
"141";"45410";"41.0";"808";"443";"437";"174";"31";"30";"117";"52";"28";"5.0";;"438";"162";"29";"28";"117";"40";"1";"33";"17";"1";"0";"5";"0";"1";"1";"0";"1";"1";"1";"0"
"142";"45510";"41.0";"585";"287";"284";"109";"18";"18";"84";"30";"18";"7.0";;"285";"105";"21";"20";"72";"24";"2";"28";"4";"4";"0";"2";"0";"0";"2";"0";"0";"1";"0";"0"
"143";"46110";"41.0";"825";"457";"453";"214";"29";"18";"102";"47";"37";"6.0";;"456";"192";"24";"18";"102";"55";"1";"41";"15";"1";"1";"1";"0";"0";"2";"0";"2";"1";"0";"0"
"144";"46210";"41.0";"855";"514";"507";"199";"37";"23";"156";"50";"34";"8.0";;"510";"179";"32";"26";"144";"51";"4";"43";"14";"3";"3";"3";"0";"0";"1";"0";"0";"3";"2";"2"
