field_1;Wahlbezirk;Wahlkreis;Wahlberechtigte;Wähler;gültige_1;CDU_1;DIE LINKE_1;SPD_1;AfD_1;GRÜNE_1;FDP_1;Die PARTEI_1;BüSo_1;gültige_2;CDU_2;DIE LINKE_2;SPD_2;AfD_2;GRÜNE_2;NPD_2;FDP_2;FREIE WÄHLER_2;Tierschutzpartei_2;PIRATEN_2 Deutschland;Die PARTEI_2;BüSo_2;ADPM_2;Blaue #TeamPetry_2;KPD_2;ÖDP_2;Die Humanisten_2;PDV_2;Gesundheitsforschung_2
"145";"46310";"41.0";"703";"390";"386";"167";"30";"27";"72";"54";"29";"7.0";;"388";"137";"26";"35";"73";"54";"0";"45";"11";"4";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1"
"146";"46410";"41.0";"736";"428";"426";"136";"31";"21";"144";"48";"41";"5.0";;"426";"120";"23";"21";"141";"40";"3";"49";"15";"6";"0";"5";"1";"0";"0";"0";"0";"1";"1";"0"
"147";"47110";"41.0";"1003";"535";"526";"201";"39";"29";"154";"53";"39";"11.0";;"529";"175";"39";"29";"146";"49";"2";"46";"19";"6";"0";"8";"0";"2";"3";"0";"1";"2";"0";"2"
"148";"47210";"41.0";"1115";"574";"568";"210";"35";"23";"217";"39";"33";"11.0";;"568";"159";"44";"31";"213";"39";"2";"47";"13";"6";"0";"6";"0";"1";"0";"1";"1";"1";"2";"2"
"149";"47310";"41.0";"554";"317";"315";"114";"11";"17";"110";"41";"12";"10.0";;"316";"100";"13";"17";"108";"35";"1";"17";"12";"2";"3";"3";"0";"0";"0";"0";"2";"1";"0";"2"
"150";"51100";"44.0";"1348";"600";"594";"209";"51";"63";"135";"99";"33";;"4.0";"596";"204";"40";"64";"117";"97";"2";"39";"9";"4";"0";"5";"1";"1";"3";"0";"5";"4";"1";"0"
"151";"51200";"44.0";"1580";"715";"703";"291";"67";"54";"129";"118";"37";;"7.0";"706";"258";"58";"58";"113";"114";"0";"47";"22";"10";"2";"13";"1";"2";"3";"0";"2";"0";"1";"2"
"152";"51400";"44.0";"1114";"584";"577";"224";"49";"56";"101";"123";"21";;"3.0";"578";"186";"44";"65";"94";"99";"0";"40";"18";"9";"1";"12";"0";"0";"1";"0";"3";"3";"0";"3"
"153";"51500";"44.0";"1218";"570";"565";"175";"64";"55";"112";"127";"20";;"12.0";"568";"153";"54";"45";"100";"125";"3";"27";"28";"10";"2";"10";"1";"0";"1";"2";"1";"3";"1";"2"
"154";"51600";"44.0";"1191";"660";"654";"223";"78";"62";"123";"133";"29";;"6.0";"657";"209";"55";"67";"122";"125";"1";"31";"18";"7";"0";"12";"1";"0";"0";"0";"6";"0";"0";"3"
"155";"51700";"44.0";"1488";"684";"675";"207";"92";"48";"133";"160";"31";;"4.0";"677";"194";"72";"49";"118";"141";"0";"42";"16";"9";"5";"13";"1";"1";"1";"0";"5";"6";"2";"2"
"156";"52100";"44.0";"1143";"558";"555";"197";"47";"48";"71";"167";"23";;"2.0";"557";"160";"41";"62";"65";"165";"1";"27";"12";"1";"1";"12";"0";"0";"0";"2";"2";"4";"0";"2"
"157";"52200";"44.0";"1325";"671";"662";"202";"76";"66";"101";"173";"37";;"7.0";"666";"201";"57";"81";"89";"147";"0";"37";"17";"6";"4";"19";"0";"0";"1";"1";"2";"2";"1";"1"
"158";"52300";"44.0";"1491";"662";"659";"179";"77";"55";"100";"218";"24";;"6.0";"660";"164";"62";"91";"90";"187";"0";"25";"5";"8";"2";"12";"1";"0";"0";"0";"5";"5";"0";"3"
"159";"52400";"44.0";"1444";"740";"734";"255";"64";"80";"97";"190";"46";;"2.0";"736";"245";"50";"73";"87";"190";"2";"49";"10";"9";"3";"10";"0";"0";"1";"1";"1";"2";"0";"3"
"160";"52501";"44.0";"1424";"707";"704";"226";"65";"67";"113";"199";"30";;"4.0";"705";"216";"56";"65";"112";"166";"0";"34";"15";"2";"3";"22";"0";"3";"1";"0";"8";"2";"0";"0"
"161";"52502";"44.0";"1120";"493";"491";"142";"43";"49";"95";"132";"22";;"8.0";"491";"126";"36";"43";"92";"127";"0";"20";"12";"10";"5";"8";"2";"1";"0";"0";"5";"2";"1";"1"
