Wahlkreis;Partei;Kandidat
41;DIE LINKE;Buddeberg, Sarah
41;SPD;Chaimite, Emiliano
41;AfD;Wilke, Karin
41;GRÜNE;Lippmann, Valentin
41;FDP;Günther, Torsten
41;Die PARTEI;Hinze, Sören
42;CDU;Piwarz, Christian
42;DIE LINKE;Fehst, Franziska
42;SPD;Sturm, Kristin
42;AfD;Wendt, André
42;GRÜNE;Mühle, Andrea
42;FDP;Mogwitz, Andreas
43;CDU;Flemming, Ingo
43;DIE LINKE;Holowenko, Anne
43;SPD;Pallas, Albrecht
43;AfD;Ladzinski, Thomas
43;GRÜNE;Mehn, Henriette
43;FDP;Kunz, Thomas
43;Die PARTEI;Hencker, Philipp
44;CDU;Modschiedler, Martin
44;DIE LINKE;Wirtz, Tilo
44;SPD;Kreß, Christian
44;AfD;Jost, Martina
44;GRÜNE;Herrmann, Dr. Dietrich
44;FDP;Görnitz, Steve
44;BüSo;Frömmel, Holger
45;CDU;Thiele, Gunter
45;DIE LINKE;Schollbach, André
45;SPD;Friedel, Sabine
45;AfD;Keiler, Dr. Joachim
45;GRÜNE;Löser, Thomas
45;FDP;Streller, Lydia
45;Die PARTEI;Brock, Charlotte
45;BüSo;Gründler, Michael
46;CDU;Rohwer, Lars
46;DIE LINKE;Kunkel, Jenny
46;SPD;Koch, Sophie
46;AfD;Harlaß, Andreas
46;GRÜNE;Hammecke, Lucie
46;FDP;Hase, Holger
47;CDU;Klepsch, Barbara
47;DIE LINKE;Gensichen, Uta
47;SPD;Drews, Vincent
47;AfD;Zickler, Hans-Jürgen
47;GRÜNE;Krause, Susanne
47;FDP;Schubert, Stefan
47;Die PARTEI;Küttner, Robert
47;BüSo;Heider, Boris
48;CDU;Wöller, Prof. Dr. Roland
48;DIE LINKE;Meiwald, Uta-Verena
48;SPD;Forberg, Daniela
48;AfD;Mayer, Norbert Otto
48;GRÜNE;Kummer, Ines
48;FDP;Brandau, Lothar
48;FREIE WÄHLER;Hofmann, Andreas
48;V-Partei³;Hanke, Martina
49;CDU;Dombois, Andrea
49;DIE LINKE;Wolf, Steffen
49;SPD;Neukirch, Dagmar
49;AfD;Barth, André
49;GRÜNE;Weiner, Holger
49;FDP;Weinholtz, Peter
49;FREIE WÄHLER;Kirsten, Thomas
50;CDU;Wehner, Oliver
50;DIE LINKE;Richter, Lutz
50;SPD;Wätzig, Ralf
50;AfD;Zwerg, Jan-Oliver Aldo
50;GRÜNE;Kusic, Martin
50;FDP;Bläsner, Norbert
50;FREIE WÄHLER;Rohrbeck, Dirk
50;BüSo;Kamke, Doris
50;Blaue #TeamPetry;Petry, Dr. Frauke
51;CDU;Michel, Jens
51;DIE LINKE;Winkler, Thomas
51;SPD;Goebel, Peter
51;AfD;Teichmann, Ivo
51;GRÜNE;Becker, Irina
51;FDP;Kowalow, Christian
51;FREIE WÄHLER;Beleites, Michael
51;Dr. Müller;Müller, Dr. Johannes
51;Schaar;Schaar, Eckhard
52;CDU;Wissel, Patricia
52;DIE LINKE;Muster, Felix
52;SPD;Hennersdorf, Anja
52;AfD;Peschel, Frank
52;GRÜNE;Jahn-Bresan, Dr. Peter
52;FDP;Rosenberg, Sirko
52;FREIE WÄHLER;Senft, Walter Georg
53;CDU;Mikwauschk, Aloysius
53;DIE LINKE;Junge, Marion
53;SPD;Michel, Kathrin
53;AfD;Schultze, Christian Friedrich
53;GRÜNE;Kirchhübel, Gerd
53;FDP;Schniebel, Matthias
53;FREIE WÄHLER;Hutschalik, Günter Klaus
54;CDU;Kockert, Mathias
54;DIE LINKE;Lang, Silvio
54;SPD;Dubiel-Umlauft, André
54;AfD;Schreyer, Timo
54;GRÜNE;Bitzka, Jens
54;FDP;Zastrow, Holger
54;FREIE WÄHLER;Linack, Marcel
55;CDU;Hirche, Frank Uwe
55;DIE LINKE;Büchner, Ralph
55;SPD;Stanulla, Kevin
55;AfD;Schwietzer, Doreen
55;GRÜNE;Vetter, Tom
55;FDP;Deutschmann, Ina
55;FREIE WÄHLER;Nasdala, Dirk
56;CDU;Schiemann, Marko
56;DIE LINKE;Kosel, Heiko
56;SPD;Baumann-Haßke, Harald
56;AfD;Urban, Jörg
56;GRÜNE;Kühn, Herbert Siegfried
56;FDP;Hauschild, Mike
56;FREIE WÄHLER;Zeidler, Ralf
56;BüSo;Faku, Christoph Tobias Mzingisi
57;CDU;Havenstein, Tilmann
57;DIE LINKE;Mertsching, Antonia
57;SPD;Baum, Thomas
57;AfD;Kuhnert, Roberto
57;GRÜNE;Pilz, Thomas
57;FDP;Grubert, Sebastian
57;FREIE WÄHLER;Hänchen, Siegmund
58;CDU;Kretschmer, Michael
58;DIE LINKE;Schultze, Mirko
58;SPD;Thomas, Mike
58;AfD;Wippel, Sebastian
58;GRÜNE;Schubert, Franziska
58;FDP;Waurich, Stefan
58;FREIE WÄHLER;Hannig, Frank
58;Die PARTEI;Krause, Michael
58;BüSo;Jakowitz, Dietmar
59;CDU;Reuter, Matthias
59;DIE LINKE;Wobst, Marie
59;SPD;Kuhne, Thomas
59;AfD;Kumpf, Mario
59;GRÜNE;Pfeiffer-Prauß, Sylvio
59;FDP;Schlagehan, Christine
59;FREIE WÄHLER;Hertrampf, Rico
60;CDU;Meyer, Dr. Stephan
60;DIE LINKE;Neumann, Tuomo
60;SPD;Herrmann, Andreas
60;AfD;Siegert, Christian
60;GRÜNE;Mühlich, Marie
60;FDP;Grüner, Hans
